fuente,id_externo,url,marca,modelo,ano,precio,kilometraje,combustible,transmision,patente,correo_vendedor,fecha_aviso,region,imagen_url,imagen_local
yapo,32385687,https://www.yapo.cl/autos-usados/kia-morning-ex-1-2-at-2015/32385687,Kia,Morning,2015,"$6.190.000
Exclusivo",180000,bencina,,,,2026-05-18,Vitacura,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/38/56/87/32385687_9965ec,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32385687.jpg
yapo,32321538,https://www.yapo.cl/autos-usados/citroen-berlingo-1-6-hdi-equipo-frio/32321538,Citroen,Berlingo,2013,$3.900.000,324000,diesel,,,,2026-05-18,Vitacura,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/32/15/38/32321538_3eb1f8c68be1d4c92e4ad3996dc0c131-cb0c823,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32321538.jpg
yapo,32180428,https://www.yapo.cl/autos-usados/citroen-berlingo-1-5-2025-270/32180428,Citroen,Berlingo,2025,$14.590.000,55341,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/18/04/28/32180428_bd2673,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32180428.jpg
yapo,32163422,https://www.yapo.cl/autos-usados/citroen-berlingo-1-5-2023-203/32163422,Citroen,Berlingo,2023,$11.970.000,63057,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/16/34/22/32163422_86311a,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32163422.jpg
yapo,31501029,https://www.yapo.cl/autos-usados/renault-express-1-5-dsl-furgon-zen-mt-2023-130/31501029,Renault,Express,2023,$11.290.000,58497,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/31/50/10/29/31501029_14b9fe,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\31501029.jpg
yapo,31712401,https://www.yapo.cl/autos-usados/citroen-berlingo-m-1-5-bluehdi-100-bvm-std-2023-167/31712401,Citroen,Berlingo,2023,$12.450.000,39527,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/31/71/24/01/31712401_3cb64e,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\31712401.jpg
yapo,31883519,https://www.yapo.cl/autos-usados/renault-dokker-1-5-dsl-furgon-mt-1-ab-esp-2022-239/31883519,Renault,Dokker,2022,$8.650.000,41342,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/31/88/35/19/31883519_07eaf0,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\31883519.jpg
yapo,32071462,https://www.yapo.cl/autos-usados/renault-dokker-1-5-dsl-furgon-mt-1-ab-esp-2022-233/32071462,Renault,Dokker,2022,$8.130.000,58077,diesel,,,,2026-05-18,Santiago,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/07/14/62/32071462_93ab6a,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32071462.jpg
yapo,32385608,https://www.yapo.cl/autos-usados/suzuki-carry-pick-up-1-5-mec-2021/32385608,Suzuki,CARRY PICK-UP,2021,$7.900.000,80137,bencina,manual,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/38/56/08/32385608_052e46,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32385608.jpg
yapo,32001898,https://www.yapo.cl/autos-usados/peugeot-308-2024/32001898,Peugeot,308,2024,"$16.490.000
-3%",24500,bencina,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/00/18/98/32001898_a0ce7e,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32001898.jpg
